second,mean_x,std_x,min_x,max_x,mean_y,std_y,mix_y,max_y,mean_z,std_z,min_z,max_z,Activity
26,2.753331953,0.483801359,1.9680338,3.727772,-9.818222183,0.625902941,-11.092337,-8.3150625,3.05867251,1.022880892,1.340753,4.4723687,1
26,2.031983275,0.258005809,1.5945383,2.5809495,-7.436425197,0.698233721,-9.0716305,-5.734113,5.68043437,0.708836927,4.175488,6.5984197,0
27,2.341864456,0.146907246,2.1212628,2.8299465,-7.509940341,0.29906233,-8.204929,-6.6415157,6.2195136,0.102112427,5.932832,6.4667387,0
28,2.138993659,0.473212006,1.0319009,2.9520507,-8.482413707,1.275181995,-10.766725,-5.851429,4.28381669,1.099954396,2.7964275,6.469133,0
28,2.813269586,0.140422795,2.597709,3.0597897,-9.389150983,0.263110955,-9.976639,-9.045294,3.016694114,0.338112216,2.492364,3.502717,2
29,2.497031452,0.465256503,1.3718776,3.5362358,-9.330808682,0.430982599,-10.876859,-8.231265,2.438796715,0.205578724,1.8818425,2.9879637,2
30,2.755031819,0.972322593,0.557849,4.1539397,-9.108309384,0.742373759,-11.3964,-7.563283,2.966104653,0.631464026,1.3479356,4.429273,2
31,3.498359623,0.848618437,2.3080103,5.4539914,-8.692221142,0.562955698,-9.950302,-6.9503675,3.814370308,0.532725542,3.0023289,5.2049947,2
32,1.288999501,1.323485111,-0.866701,3.1890767,-7.86221982,2.269707099,-11.21444,-3.052607,5.748429906,1.460920974,3.679888,9.186552,2
33,-1.549359756,0.459948725,-3.1651347,-0.5650316,-2.654212017,1.478660885,-5.233725,-0.15801731,9.012230068,0.830836349,6.5960255,11.099519,2
34,-2.873114599,1.610054436,-6.196194,0.641646,-4.234883303,2.646561596,-10.304645,2.1021092,8.477263628,2.097016315,4.309563,14.269443,2
35,-3.000988167,3.20797193,-9.5385,3.5194764,-2.290269381,3.631906549,-9.749189,6.126762,8.757463054,1.955242328,4.177882,13.512875,2
36,-5.344517445,6.146966441,-15.449783,7.371747,-4.578303488,3.774263032,-12.694057,3.0262709,6.858867438,2.709826082,1.3862427,10.939108,2
36,-4.615690671,7.341161098,-20.0682,6.71813,-4.679756124,4.460817337,-12.612655,5.1882353,6.867396019,3.62381929,-2.896984,10.979809,3
37,-4.54654115,7.825232474,-20.257341,10.474632,-3.443412736,5.33172991,-13.318944,5.8466406,7.225197929,3.785951845,-1.2665327,14.384364,3
38,-5.078488713,6.6768625,-16.79772,9.600749,-2.574540699,3.632600197,-10.529699,5.2528787,7.741397269,2.855619021,2.0685902,13.409924,3
39,-5.345797508,3.378706523,-11.51611,1.9416976,-2.180519193,3.010324001,-8.841787,3.727772,7.80591157,2.867144748,1.7357962,13.184869,3
40,-4.698221812,3.075784171,-11.089942,1.4437037,-1.930234449,3.272418967,-10.465055,4.390966,8.087661703,2.366249988,1.7788919,13.098678,3
41,-5.340242951,5.962087943,-17.96609,6.909666,-1.657098813,4.626421503,-11.647791,7.479486,7.758386705,3.400469228,0.45010993,14.087482,3
42,-4.821027386,8.455827443,-21.109676,8.743625,-2.562545524,4.040889109,-11.520899,4.9655743,7.796342946,3.681108552,0.7757214,13.682862,3
43,-5.267171987,8.581728062,-20.956448,8.772355,-2.364992446,3.570218983,-11.089942,5.0613422,7.543578907,3.651888933,0.06464344,13.321339,3
44,-5.311161627,7.372288609,-20.458454,7.2328835,-1.443631089,3.397297785,-10.014946,6.5218053,7.727346493,2.888893542,0.6991069,12.10269,3
45,-4.202061051,5.342829142,-16.840815,7.6231384,-1.956916171,4.522426035,-14.176068,8.59279,8.416827957,2.493555411,2.707842,13.029245,3
46,-3.503877938,5.347254918,-17.341204,7.345411,-2.23896554,3.873113899,-11.305421,6.4044895,8.532040062,2.492807184,3.193865,14.642938,3
47,-6.847249317,6.925688675,-20.956448,6.0118403,-4.296203486,10.1572293,-32.623394,14.750677,4.938088909,5.669179197,-8.465898,18.76336,3
48,-5.923375922,7.381736304,-24.195803,5.9807158,-2.549631308,7.041180438,-16.98686,18.660408,5.691912209,4.762984579,-6.4044895,20.590134,3
49,-6.916681104,7.472147062,-22.213404,9.334992,-4.354262775,10.83026095,-36.03513,19.237411,3.802686622,7.545476122,-12.229582,19.04827,3
50,-7.001709892,7.048818749,-21.66992,7.005434,-4.874909033,9.555561776,-27.449522,19.443312,4.760978871,6.037638352,-9.138668,16.601395,3
51,-4.501051301,3.722832837,-11.803414,6.5361705,-1.51311153,3.700199779,-9.306262,6.7348895,7.916212362,2.707688569,0.79487497,13.13459,3
52,-6.255646061,4.80510879,-19.103334,5.3438582,-2.538801981,4.820113745,-16.503233,6.706159,6.574525261,3.28397604,-1.7788919,15.382746,3
53,-6.608020654,7.109069556,-19.258959,9.7324295,-4.247553263,10.07542002,-28.471848,19.680338,3.685131284,6.88669713,-12.770672,15.433024,3
54,-8.110878218,8.800656409,-45.918396,5.2265425,-3.203175857,4.579133464,-12.334928,6.397307,2.969414697,5.586506586,-10.314221,12.938266,3
55,-8.748820048,5.977049131,-21.610065,2.789245,-2.947310168,9.480945779,-21.729774,10.31901,0.967496897,7.155250591,-15.787366,13.706804,3
56,-7.984928645,6.079937019,-18.772936,5.8634,-2.75705633,10.54233204,-25.024197,13.883976,1.677714711,6.777185615,-11.09473,13.184869,3
57,-7.885181085,6.997450029,-22.634783,6.0716953,-3.35496068,7.773328475,-24.20538,11.654974,2.423518488,6.246317773,-9.55047,14.777013,3
58,-8.600900816,6.8221347,-27.657818,4.2640734,-5.172159676,7.129420129,-18.435352,8.690952,-0.109253707,8.320180653,-17.37951,15.037981,3
59,-6.926572045,7.711304346,-20.283676,6.0525417,-4.132245467,7.411367274,-21.1001,9.428367,3.08436698,6.675041684,-11.583148,14.798561,3
60,-7.249545032,5.364678558,-17.233463,4.560954,-3.467243811,5.958648358,-18.799273,8.497022,3.149743407,5.348723825,-9.488221,17.245436,3
61,-8.18186668,5.477553472,-21.428104,1.151611,-4.49909591,8.051865843,-21.787235,7.9750857,0.577198028,7.97555592,-13.464991,16.407465,3
62,-6.526398376,4.624587435,-17.444153,2.3678656,-0.237661175,3.29410876,-7.3047094,7.5106106,6.423301114,3.370288917,-1.958457,12.133814,3
