raw,type,extend,xvalue,yvalue,zvalue,time,seconds
8.76E+11,1,3,7.1945763,-2.2385786,3.9360676,3124639321,3.124639321
8.76E+11,1,3,7.9367785,-1.4508862,4.5441947,3141542498,3.141542498
8.76E+11,1,3,8.1642275,-1.5777789,4.7500963,3144565936,3.144565936
8.76E+11,1,3,7.979874,-2.8299465,5.3558292,3161428696,3.161428696
8.76E+11,1,3,7.836222,-3.1675289,5.731719,3164473488,3.164473488
8.76E+11,1,3,8.046912,-3.0214825,6.303933,3181242915,3.181242915
8.76E+11,1,3,8.228871,-2.9233203,6.0118403,3184264061,3.184264061
8.76E+11,1,3,8.597578,-2.6623523,5.4659624,3201222759,3.201222759
8.76E+11,1,3,8.540117,-2.6240451,5.1666875,3204248905,3.204248905
8.76E+11,1,3,8.324639,-2.492364,4.355053,3221068800,3.2210688
8.76E+11,1,3,8.437167,-2.3343468,4.3478703,3224094686,3.224094686
8.76E+11,1,3,8.66701,-1.6519991,4.644751,3241015623,3.241015623
8.76E+11,1,3,8.588001,-1.685518,4.936844,3244032498,3.244032498
8.76E+11,1,3,8.765172,-2.7269957,5.781997,3260875571,3.260875571
8.76E+11,1,3,9.066842,-2.9975405,6.2105594,3263898384,3.263898384
8.76E+11,1,3,9.588778,-3.0358477,6.739678,3280789321,3.280789321
8.76E+11,1,3,9.557653,-3.004723,6.5505357,3283799321,3.283799321
8.76E+11,1,3,9.028535,-2.6982653,5.707777,3300710988,3.300710988
8.76E+11,1,3,9.069236,-2.5785553,5.781997,3303742915,3.303742915
8.76E+11,1,3,10.465055,-2.7006595,6.0836663,3320579634,3.320579634
8.76E+11,1,3,10.3692875,-2.7868507,6.184223,3323603540,3.32360354
8.76E+11,1,3,9.679757,-2.7724855,6.6893997,3340583488,3.340583488
8.76E+11,1,3,9.648633,-2.8921957,6.7851677,3343604998,3.343604998
8.76E+11,1,3,10.275913,-3.5003228,7.0964136,3360304530,3.36030453
8.76E+11,1,3,10.158598,-3.7565024,6.7827735,3363347759,3.363347759
8.76E+11,1,3,8.949526,-2.954445,6.591237,3380311873,3.380311873
8.76E+11,1,3,8.6574335,-2.3008277,6.5505357,3383336196,3.383336196
8.76E+11,1,3,8.236053,-1.3455414,6.7013707,3400166769,3.400166769
8.76E+11,1,3,8.1402855,-1.2042835,6.679823,3403160207,3.403160207
8.76E+11,1,3,8.37013,-1.2449849,6.813898,3420129321,3.420129321
8.76E+11,1,3,8.475474,-1.4197617,6.682217,3423144217,3.423144217
8.76E+11,1,3,8.724471,-0.94810385,6.5218053,3439973123,3.439973123
8.76E+11,1,3,8.947132,-0.6991069,6.191406,3442983592,3.442983592
8.76E+11,1,3,9.050082,0.28491,5.542577,3459927029,3.459927029
8.76E+11,1,3,8.947132,0.50996494,5.2480903,3463085102,3.463085102
8.76E+11,1,3,8.441956,0.047884032,5.6551046,3479790779,3.479790779
8.76E+11,1,3,8.35337,-0.6991069,5.853823,3482825779,3.482825779
8.76E+11,1,3,8.429984,-1.2138603,6.2967505,3499710675,3.499710675
8.76E+11,1,3,8.4587145,-0.9552865,6.457162,3502725102,3.502725102
8.76E+11,1,3,7.6710224,-0.46926352,6.196194,3519565154,3.519565154
8.76E+11,1,3,7.433996,-0.055066638,6.5505357,3522593175,3.522593175
8.76E+11,1,3,8.4108305,1.1707647,7.651869,3539467915,3.539467915
8.76E+11,1,3,8.568848,1.2665327,7.740454,3542494634,3.542494634
8.76E+11,1,3,8.485051,-0.2777274,7.800309,3559350363,3.559350363
8.76E+11,1,3,8.765172,-1.1372458,7.541735,3562474686,3.562474686
8.76E+11,1,3,9.653421,-1.6280571,6.196194,3579274321,3.579274321
8.76E+11,1,3,9.574412,-0.94570965,5.686229,3582338123,3.582338123
8.76E+11,1,3,9.454702,0.1436521,5.533,3599184738,3.599184738
8.76E+11,1,3,9.449914,0.06703765,5.753267,3602243852,3.602243852
8.76E+11,1,3,9.330204,0.110133275,6.3685765,3619061977,3.619061977
8.76E+11,1,3,9.150639,0.39743748,6.4380083,3622197498,3.622197498
8.77E+11,1,3,9.138668,0.1340753,6.3781533,3639011352,3.639011352
8.77E+11,1,3,9.143456,-0.21547815,6.351817,3642055363,3.642055363
8.77E+11,1,3,9.074024,-1.1204864,6.7564373,3658490259,3.658490259
8.77E+11,1,3,9.143456,-1.4772224,6.799533,3661531977,3.661531977
8.77E+11,1,3,9.215282,-2.4396915,6.8067155,3674473540,3.67447354
8.77E+11,1,3,9.196129,-2.5067291,6.8665705,3680958696,3.680958696
8.77E+11,1,3,8.147469,-2.3247697,6.5840545,3694072446,3.694072446
8.77E+11,1,3,8.1402855,-2.4013844,7.074866,3701691665,3.701691665
8.77E+11,1,3,7.9343843,-3.1004913,7.8386164,3714297915,3.714297915
8.77E+11,1,3,7.603985,-3.2369606,7.9463553,3721642498,3.721642498
8.77E+11,1,3,6.9623384,-3.2632968,7.7548194,3734159634,3.734159634
8.77E+11,1,3,6.8545995,-3.5194764,7.908048,3741541561,3.741541561
8.77E+11,1,3,5.851429,-3.8498764,7.843405,3754099738,3.754099738
8.77E+11,1,3,6.0381765,-4.1611223,7.48188,3761443592,3.761443592
8.77E+11,1,3,6.6415157,-4.6686935,7.5944076,3773949894,3.773949894
8.77E+11,1,3,5.5641246,-5.506664,7.314286,3781344894,3.781344894
8.77E+11,1,3,5.386954,-6.6103907,7.3047094,3793896977,3.793896977
8.77E+11,1,3,5.9639564,-7.299921,7.4244194,3800128852,3.800128852
8.77E+11,1,3,5.6910176,-7.467515,7.7548194,3813749373,3.813749373
8.77E+11,1,3,4.9224787,-8.461109,7.7213006,3821155988,3.821155988
8.77E+11,1,3,5.035006,-8.892065,7.6470804,3833696509,3.833696509
8.77E+11,1,3,5.2480903,-8.645462,7.615956,3841055102,3.841055102
8.77E+11,1,3,5.073313,-8.506598,7.503428,3853562915,3.853562915
8.77E+11,1,3,4.7620673,-8.135497,6.801927,3860946040,3.86094604
8.77E+11,1,3,4.5777135,-7.5321584,5.7484784,3873455883,3.873455883
8.77E+11,1,3,4.187459,-7.433996,4.8722005,3884794477,3.884794477
8.77E+11,1,3,4.1515455,-8.087613,4.8865657,3896944998,3.896944998
8.77E+11,1,3,4.1539397,-8.604761,4.9536033,3900974061,3.900974061
8.77E+11,1,3,4.307169,-9.485827,5.0661306,3913337654,3.913337654
8.77E+11,1,3,4.247314,-10.029311,5.0254292,3919688956,3.919688956
8.77E+11,1,3,3.799598,-10.42196,4.805163,3933154686,3.933154686
8.77E+11,1,3,3.3734303,-10.742783,4.3502645,3940557550,3.94055755
8.77E+11,1,3,3.1866825,-11.027693,3.8283286,3953098383,3.953098383
8.77E+11,1,3,3.241749,-10.5680065,3.6248214,3960581248,3.960581248
8.77E+11,1,3,3.1627405,-9.986216,3.4476504,3973442602,3.973442602
